Time	Agent	D1	SSCMax_D1	D2	SSCMax_D2	D3	SSCMax_D3	D4	SSCMax_D4
99.350000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.355000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.360000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.365000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.370000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.375000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.380000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.385000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.390000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.395000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.400000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.405000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.410000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.415000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.420000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.425000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.430000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.435000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.440000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.445000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.450000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.455000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.460000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.465000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
